County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Autauga County, AL",2018,"26,475     ","25,524     ",951     ,3.6     
"Baldwin County, AL",2018,"96,252     ","92,769     ","3,483     ",3.6     
"Barbour County, AL",2018,"8,505     ","8,071     ",434     ,5.1     
"Bibb County, AL",2018,"8,698     ","8,354     ",344     ,4.0     
"Blount County, AL",2018,"25,337     ","24,454     ",883     ,3.5     
"Bullock County, AL",2018,"4,844     ","4,619     ",225     ,4.6     
"Butler County, AL",2018,"9,070     ","8,642     ",428     ,4.7     
"Calhoun County, AL",2018,"46,805     ","44,652     ","2,153     ",4.6     
"Chambers County, AL",2018,"15,530     ","14,929     ",601     ,3.9     
"Cherokee County, AL",2018,"11,813     ","11,394     ",419     ,3.5     
"Chilton County, AL",2018,"19,834     ","19,121     ",713     ,3.6     
"Choctaw County, AL",2018,"4,800     ","4,539     ",261     ,5.4     
"Clarke County, AL",2018,"7,742     ","7,170     ",572     ,7.4     
"Clay County, AL",2018,"6,076     ","5,845     ",231     ,3.8     
"Cleburne County, AL",2018,"5,857     ","5,610     ",247     ,4.2     
"Coffee County, AL",2018,"21,233     ","20,403     ",830     ,3.9     
"Colbert County, AL",2018,"23,798     ","22,713     ","1,085     ",4.6     
"Conecuh County, AL",2018,"4,560     ","4,325     ",235     ,5.2     
"Coosa County, AL",2018,"4,475     ","4,291     ",184     ,4.1     
"Covington County, AL",2018,"15,820     ","15,101     ",719     ,4.5     
"Crenshaw County, AL",2018,"6,436     ","6,177     ",259     ,4.0     
"Cullman County, AL",2018,"38,519     ","37,263     ","1,256     ",3.3     
"Dale County, AL",2018,"20,478     ","19,627     ",851     ,4.2     
"Dallas County, AL",2018,"15,043     ","14,073     ",970     ,6.4     
"DeKalb County, AL",2018,"30,616     ","29,457     ","1,159     ",3.8     
"Elmore County, AL",2018,"37,993     ","36,692     ","1,301     ",3.4     
"Escambia County, AL",2018,"14,581     ","13,924     ",657     ,4.5     
"Etowah County, AL",2018,"43,714     ","41,935     ","1,779     ",4.1     
"Fayette County, AL",2018,"6,600     ","6,333     ",267     ,4.0     
"Franklin County, AL",2018,"14,445     ","13,911     ",534     ,3.7     
"Geneva County, AL",2018,"10,991     ","10,559     ",432     ,3.9     
"Greene County, AL",2018,"2,891     ","2,700     ",191     ,6.6     
"Hale County, AL",2018,"6,043     ","5,739     ",304     ,5.0     
"Henry County, AL",2018,"6,904     ","6,600     ",304     ,4.4     
