County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate
"Autauga County, AL",2017,"26,269     ","25,224     ","1,045     ",4.0     
"Baldwin County, AL",2017,"93,152     ","89,286     ","3,866     ",4.2     
"Barbour County, AL",2017,"8,415     ","7,914     ",501     ,6.0     
"Bibb County, AL",2017,"8,648     ","8,261     ",387     ,4.5     
"Blount County, AL",2017,"25,009     ","23,979     ","1,030     ",4.1     
"Bullock County, AL",2017,"4,890     ","4,644     ",246     ,5.0     
"Butler County, AL",2017,"9,046     ","8,536     ",510     ,5.6     
"Calhoun County, AL",2017,"46,304     ","43,960     ","2,344     ",5.1     
"Chambers County, AL",2017,"15,375     ","14,734     ",641     ,4.2     
"Cherokee County, AL",2017,"11,470     ","10,993     ",477     ,4.2     
"Chilton County, AL",2017,"19,478     ","18,667     ",811     ,4.2     
"Choctaw County, AL",2017,"4,460     ","4,172     ",288     ,6.5     
"Clarke County, AL",2017,"7,832     ","7,153     ",679     ,8.7     
"Clay County, AL",2017,"5,863     ","5,603     ",260     ,4.4     
"Cleburne County, AL",2017,"5,792     ","5,525     ",267     ,4.6     
"Coffee County, AL",2017,"21,128     ","20,179     ",949     ,4.5     
"Colbert County, AL",2017,"23,525     ","22,273     ","1,252     ",5.3     
"Conecuh County, AL",2017,"4,541     ","4,257     ",284     ,6.3     
"Coosa County, AL",2017,"4,430     ","4,218     ",212     ,4.8     
"Covington County, AL",2017,"15,901     ","15,054     ",847     ,5.3     
"Crenshaw County, AL",2017,"6,477     ","6,177     ",300     ,4.6     
"Cullman County, AL",2017,"38,258     ","36,792     ","1,466     ",3.8     
"Dale County, AL",2017,"20,166     ","19,243     ",923     ,4.6     
"Dallas County, AL",2017,"15,211     ","14,046     ","1,165     ",7.7     
"DeKalb County, AL",2017,"29,915     ","28,541     ","1,374     ",4.6     
"Elmore County, AL",2017,"37,642     ","36,222     ","1,420     ",3.8     
"Escambia County, AL",2017,"14,613     ","13,868     ",745     ,5.1     
"Etowah County, AL",2017,"43,562     ","41,517     ","2,045     ",4.7     
"Fayette County, AL",2017,"6,629     ","6,309     ",320     ,4.8     
"Franklin County, AL",2017,"14,134     ","13,516     ",618     ,4.4     
"Geneva County, AL",2017,"10,908     ","10,423     ",485     ,4.4     
"Greene County, AL",2017,"2,885     ","2,662     ",223     ,7.7     
"Hale County, AL",2017,"6,016     ","5,650     ",366     ,6.1     
"Henry County, AL",2017,"6,791     ","6,453     ",338     ,5.0     
"Houston County, AL",2017,"45,221     ","43,200     ","2,021     ",4.5     
"Jackson County, AL",2017,"23,377     ","22,231     ","1,146     ",4.9     
"Jefferson County, AL",2017,"313,828     ","300,153     ","13,675     ",4.4     
"Lamar County, AL",2017,"5,807     ","5,558     ",249     ,4.3     
"Lauderdale County, AL",2017,"42,539     ","40,520     ","2,019     ",4.7     
"Lawrence County, AL",2017,"13,795     ","13,099     ",696     ,5.0     
"Lee County, AL",2017,"74,311     ","71,292     ","3,019     ",4.1     
"Limestone County, AL",2017,"42,005     ","40,275     ","1,730     ",4.1     
